"Year","No","Title","Artist","trackid","spotifyartist","Acousticness"
1976,"9","""Love Is Alive""","Gary Wright","5vVuiXoHyRGxJeCaHUpgae","Gary Wright",0.0614
1976,"10","""A Fifth of Beethoven""","Walter Murphy & The Big Apple Band",NA,NA,NA
1976,"11","""Sara Smile""","Hall & Oates","1qjrYozGqc7upUgfN776lZ","Daryl Hall & John Oates",0.354
1976,"12","""Afternoon Delight""","Starland Vocal Band","3TQOqBFEKUEab8CO1pi5A8","Starland Vocal Band",0.529
1976,"13","""I Write the Songs""","Barry Manilow","5VU6nvX3BqkqBmOJ2d9vhW","Barry Manilow",0.835
1976,"14","""Fly, Robin, Fly""","Silver Convention","4Wr14AISsCuBGdkA6rids4","Silver Convention",0.00719
1976,"15","""Love Hangover""","Diana Ross","3gbnQ7TJEx1EI9chRZXVXl","Diana Ross",0.335
1976,"16","""Get Closer""","Seals and Crofts","5Eq0mobXSnyWu1dpE6lSdY","Seals and Crofts",0.434
1976,"17","""More, More, More""","Andrea True Connection","4hepyFFOO9I7oZCNn3T2sz","Andrea True Connection",0.517
1976,"18","""Bohemian Rhapsody""","Queen","7tFiyTwD0nx5a1eklYtX2J","Queen",0.254
1976,"19","""Misty Blue""","Dorothy Moore","2lBilUJAUX9jCNbbpPRQDD","Dorothy Moore",0.7
1976,"20","""Boogie Fever""","The Sylvers","0vE1E6ZNJGlCHPe95z5Orl","The Sylvers",0.19
1976,"21","""I'd Really Love to See You Tonight""","England Dan & John Ford Coley","51WE0PFRB0hCSp9mDC5p8u","England Dan Seals",0.184
1976,"22","""You Sexy Thing""","Hot Chocolate","714hERk9U1W8FMYkoC83CO","Hot Chocolate",0.522
1976,"23","""Love Hurts""","Nazareth","1i5oEx2vFczQ2sCY3c6Kn5","Nazareth",0.00482
1976,"24","""Get Up and Boogie""","Silver Convention","66wkmlfx3H0Oqg1frvJjhu","Silver Convention",0.117
1976,"25","""Take It to the Limit""","Eagles","2cWHN0WK52RGAWHgaDamUA","Eagles",0.0916
1976,"26","""(Shake, Shake, Shake) Shake Your Booty""","KC and the Sunshine Band","3Is0Nnz59rzbNZE491URlY","KC & The Sunshine Band",0.00606
1976,"27","""Sweet Love""","Commodores","7zqguUyS3LQxAdL8rRgXx2","Commodores",0.295
1976,"28","""Right Back Where We Started From""","Maxine Nightingale","0Ar1ynkK5zEqFsw2vgez4w","Various Artists",0.53
